Est Number,Premise Name,Premise Address 1,Premise Zip Code,TYPE,Status,Inspection Date,Inspection Type,Score,Violation List
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",40517,605,ACTIVE,28-Feb-2023,1,91,  15  34  44  48  50  51  56
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",40517,605,ACTIVE,07-Jun-2023,2,93,  17  38  45  48  50  56
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",40517,605,ACTIVE,14-Sep-2023,1,94,  40  41  48  51  56
98932,21C LEXINGTON MASTER TENANT,167 W MAIN STREET,40507,605,ACTIVE,20-Mar-2023,2,98,  45  51
98932,21C LEXINGTON MASTER TENANT,167 W MAIN STREET,40507,605,ACTIVE,20-Mar-2023,1,94,   6  29  45  51
98932,LOCKBOX INSIDE 21C,167 W MAIN STREET,40507,605,ACTIVE,04-Oct-2023,1,94,  18  21
98932,LOCKBOX INSIDE 21C,167 W MAIN STREET,40507,605,ACTIVE,04-Oct-2023,12,,
98932,LOCKBOX INSIDE 21C,167 W MAIN STREET,40507,605,ACTIVE,18-Oct-2023,2,100,
30690,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,2,98,  50  56
30690,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,91,   6  23  25  50  56
30690,KEENELAND  2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,2,97,  44  50  56
30690,KEENELAND  2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,93,   6  29  44  50  56
31530,KEENELAND 3RD FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,2,96,  48  56  57
31530,KEENELAND 3RD FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,94,  29  48  56  57
31534,KEENELAND LEX KY ROOM,4201 VERSAILLES RD.,40510,605,ACTIVE,10-Oct-2023,1,99,  57
31533,KEENELAND MAIN KITCHEN - GRANDSTAND,4201 VERSAILLES RD.,40510,605,ACTIVE,10-Oct-2023,1,96,  48  56  57
31536,KEENELAND STAND #115,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,98,  34  50
31532,KEENELAND STAND 111,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,100,
31527,KEENELAND STAND 114,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,98,  34  56
31536,KEENELAND STAND 115,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,99,  56
31538,KEENELAND STAND 117,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,98,  39  44
31531,KEENELAND STAND 122,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,99,  56
61339,KEENELAND STAND 209,4201 VERSAILLES RD.,40544,605,ACTIVE,11-Oct-2023,1,100,
31529,KEENELAND STAND 310,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,99,  56
31528,KEENELAND STAND 311,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,2,100,
31528,KEENELAND STAND 311,4201 VERSAILLES RD.,40510,605,ACTIVE,11-Oct-2023,1,98,  47
31534,LEX KY ROOM,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,97,  48  56
31533,MAIN KITCHEN/ GRANDSTAND,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,89,   6  13  21  37  49  56  57
31533,MAIN KITCHEN/ GRANDSTAND,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,2,96,  37  49  56  57
31532,STAND 111,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,98,  10  56
31527,STAND 114,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,2,98,  51  56
31527,STAND 114,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,95,   8  51  56
31538,STAND 117,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,100,
31538,STAND 117,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,98,  44  56
31531,STAND 122,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,100,
61339,STAND 209,4201 VERSAILLES RD.,40544,605,ACTIVE,13-Apr-2023,1,98,  10  46
31529,STAND 310,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,90,   6  22  25  29  57
31529,STAND 310,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,2,99,  57
31528,STAND 311,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,2,100,
31528,STAND 311,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,97,  22
31530,THIRD FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,40510,605,ACTIVE,13-Apr-2023,1,97,  48  56
120389,2ND HOME ADULT DAY HEALTH CARE LLC,2432 REGENCY ROAD  SUITE #200,40503,605,ACTIVE,11-Dec-2023,5,97,  18
120389,2ND HOME ADULT DAY HEALTH CARE LLC,2432 REGENCY ROAD  SUITE #200,40503,605,ACTIVE,15-Dec-2023,1,100,
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,40503,605,ACTIVE,17-Jan-2023,1,94,   1  44  49  50  56
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,40503,605,ACTIVE,09-Feb-2023,2,89,  10  41  43  44  46  48  50  51  56  57
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,40503,605,ACTIVE,26-Jul-2023,1,96,  10  41  50  56
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,40503,605,ACTIVE,13-Feb-2024,2,93,   1   5   6  56
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,40503,605,ACTIVE,30-Jan-2024,1,88,   1  15  17  40  41  46  48  50  56
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,17-May-2023,1,80,   1   3  10  13  25  29  38  40  41  45  49  50  56  58
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,31-May-2023,2,95,  10  40  45  50  56
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,31-May-2023,12,,
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,02-Oct-2023,1,91,  13  18  25  45  50
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,16-Oct-2023,2,100,
107156,33 STAVES,4174 ROWAN,40517,605,ACTIVE,16-Oct-2023,2,97,  18
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,40513,605,ACTIVE,06-Oct-2023,1,90,   1   2   3  10  40  41  44  49
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,40513,605,ACTIVE,20-Oct-2023,12,,
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,40513,605,ACTIVE,20-Oct-2023,2,99,  40
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,40509,605,ACTIVE,01-Feb-2024,2,100,
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,40509,605,ACTIVE,13-Jul-2023,1,100,
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,40509,605,ACTIVE,25-Jan-2024,12,,
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,40509,605,ACTIVE,25-Jan-2024,2,92,   6  29  40  43  44  49
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,40509,605,ACTIVE,11-Jan-2024,1,92,   1   6  40  44  49  55
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,605,ACTIVE,10-Jan-2023,1,96,  48  54  56
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,605,ACTIVE,10-Jan-2023,1,98,  50  56
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,607,ACTIVE,10-Jan-2023,1,98,  50  56
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,607,ACTIVE,10-Jan-2023,1,96,  48  54  56
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,605,ACTIVE,05-Jan-2024,1,92,  29  48  50  52  56
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,40508,607,ACTIVE,05-Jan-2024,1,92,  29  48  50  52  56
