Est Number,Premise Name,Premise Address 1,Premise Zip Code,TYPE,Status,Inspection Date,Inspection Type,Score,Violation List,
30573,KIDS-N-KAPERS NURSERY,1896 COURTLAND,40505,605,ACTIVE,08-Aug-2023,1,100,,
30691,LEXINGTON GRIFFIN GATE MARRIOTT MAIN KITCHEN,1800 NEWTOWN PIKE,40511,605,ACTIVE,02-Aug-2023,1,84,   6  10  13  18  21  29  34  37  56,
30691,LEXINGTON GRIFFIN GATE MARRIOTT MAIN KITCHEN,1800 NEWTOWN PIKE,40511,605,ACTIVE,17-Aug-2023,2,88,   6  18  21  29  37  56,
30691,LEXINGTON GRIFFIN GATE MARRIOTT MAIN KITCHEN,1800 NEWTOWN PIKE,40511,605,ACTIVE,24-Aug-2023,2,98,  41  56,
30703,WILDCAT CAFE @ UK HOSPITAL,1000 S LIMESTONE,40536,605,ACTIVE,25-Aug-2023,1,100,,
30739,MINGLEWOOD,159 NORTH LIMESTONE,40507,605,ACTIVE,28-Sep-2023,1,95,  15  50  56  57,
30740,AP  SUGGINS,345 ROMANY RD,40502,605,ACTIVE,23-Aug-2023,1,92,  15  17  38  40  41  50  56,
30743,SILVER STREAK MARKET,5584 VERSAILLES ROAD,40510,607,ACTIVE,30-Aug-2023,1,89,  11  15  21  38  41  46,
30743,SILVER STREAK MARKET,5584 VERSAILLES ROAD,40510,607,ACTIVE,30-Aug-2023,1,95,  11  48,
30743,SILVER STREAK MARKET,5584 VERSAILLES ROAD,40510,607,ACTIVE,18-Sep-2023,2,94,   8  15  40,
30743,SILVER STREAK MARKET,5584 VERSAILLES ROAD,40510,607,ACTIVE,18-Sep-2023,2,100,,
30743,SILVER STREAK MARKET,5584 VERSAILLES ROAD,40510,607,ACTIVE,18-Sep-2023,2,97,  15  40,
30756,ARBY'S #1128,540 NEW CIRCLE RD S-4,40511,605,ACTIVE,28-Aug-2023,1,93,  17  40  48  50  54  56,
30758,ARBY'S OF LEXINGTON #1952,2270 ELKHORN DR,40515,605,ACTIVE,27-Jul-2023,1,100,,
30760,ARBY'S #784,1228 S BROADWAY,40504,605,ACTIVE,24-Aug-2023,1,94,  48  50  51  56  57,
30761,ARBY'S #1299,3261 NICHOLASVILLE RD,40503,605,ACTIVE,29-Aug-2023,1,94,  10 37 50 52 56,
30761,ARBY'S #1299,3261 NICHOLASVILLE RD,40503,605,ACTIVE,19-Sep-2023,12,,"NOTICE TO CORRECT
AN INSPECTION CONDUCTED DISCLOSED THE FOLLOWING VIOLATIONS: HANDSINK MISSING IN MEN'S RESTROOM. *VERIFIED ITEM ORDER IS ENROUTE ALLOWED ON WEEK TO BE INSTALLED FURTHER DELAY WILL RESULT IN AUTOMATIC CLOSURE.",
30761,ARBY'S #1299,3261 NICHOLASVILLE RD,40503,605,ACTIVE,27-Sep-2023,2,95,   2  39  50  51  56,
30763,ARBY'S RESTAURANT,3391 TATES CREEK RD,40502,605,ACTIVE,17-Jul-2023,1,95,  26  48  56,
